corr,key1,key2,shift,Piece-wise_shift,amplitude_clipping,comment,noise_level,part_of_audio_missing
0.004398671116247,EMO_1004_1_0,EMO_1004_2_0,-1.53875,,,,0.0,
0.005830348870664,EMO_1065_1_0,EMO_1065_2_0,-1.58,,,,1.0,
0.003745865230944,EMO_1082_1_0,EMO_1082_2_0,-1.5195625,,,,1.0,
0.004208515176673,EMO_1083_1_0,EMO_1083_2_0,-1.5661875,,,,1.0,
0.004709919036921999,EMO_1108_1_0,EMO_1108_2_0,-1.5139375,x,,,1.0,
0.008508098389955,EMO_1129_1_0,EMO_1129_2_0,-1.575375,x,,,1.0,
0.00643611657003,EMO_1150_1_0,EMO_1150_2_0,-1.585875,,,,2.0,c
0.009023088285182,EMO_1160_1_0,EMO_1160_2_0,-1.5841875,x,x,,1.0,
0.013028616153623,EMO_1172_1_0,EMO_1172_2_0,0.0483125,,,,1.0,
0.008611082671211,EMO_1427_1_0,EMO_1427_2_0,-1.566625,,,,1.0,
0.007794275081704,EMO_1440_1_0,EMO_1440_2_0,0.039125,,x,,1.0,
0.005400743256652,EMO_1441_1_0,EMO_1441_2_0,-1.1289375,x,,,1.0,
0.009510711320861,EMO_1451_1_0,EMO_1451_2_0,-1.542625,,,,1.0,
0.015652360991956,EMO_1455_1_0,EMO_1455_2_0,-1.5309375,x,,,1.0,
0.286755184969128,EMO_1789_1_0,EMO_1789_2_0,0.04925,,,low pass filtered?,3.0,
0.010286326093108,EMO_1810_1_0,EMO_1810_2_0,0.0484375,,,,1.0,
0.062252986359204,EMO_1813_1_0,EMO_1813_2_0,0.05475,,,,1.0,
0.17370243530726098,EMO_1820_1_0,EMO_1820_2_0,0.0495,,,,1.0,
0.14967779497834902,EMO_1822_1_0,EMO_1822_2_0,0.0323125,,,,1.0,
0.007616975784509,EMO_1845_1_0,EMO_1845_2_0,-1.528375,,,,2.0,
0.08149542560156099,EMO_1922_1_0,EMO_1922_2_0,0.0431875,,,,1.0,
0.008351984463359,EMO_1935_1_0,EMO_1935_2_0,0.045125,,,,1.0,
0.004580724842387999,EMO_1943_1_0,EMO_1943_2_0,0.0339375,,,,1.0,
0.008285248262135,EMO_1949_1_0,EMO_1949_2_0,-1.5788125,x,,,1.0,
0.004268687207402,EMO_1969_1_0,EMO_1969_2_0,0.06025,,,,3.0,c
0.12646886615224198,EMO_1996_1_0,EMO_1996_2_0,0.052875,,,,1.0,
0.61971115100008,EMO_2001_1_0,EMO_2001_2_0,0.0494375,,,,1.0,
0.061329228626174015,EMO_2036_1_0,EMO_2036_2_0,0.052125,,,,1.0,
0.12511325170350698,EMO_2143_1_0,EMO_2143_2_0,0.04575,,,,1.0,
0.10814429069467,EMO_2148_1_0,EMO_2148_2_0,0.0375625,,,,1.0,
0.183932440772716,EMO_2207_1_0,EMO_2207_2_0,0.03175,,,,1.0,
0.018262758641461003,EMO_2274_1_0,EMO_2274_2_0,-1.577,x,,,0.0,
0.07541546077983001,EMO_2279_1_0,EMO_2279_2_0,0.039,,,,1.0,
0.4192143359112071,EMO_2310_1_0,EMO_2310_2_0,0.054375,,,child can hardly be heard,1.0,
0.001971993560947,EMO_2331_1_0,EMO_2331_2_0,-1.3838125,x,,,1.0,
0.002262536695326,EMO_2378_1_0,EMO_2378_2_0,-1.442625,x,,,2.0,
0.071610007069377,EMO_2389_1_0,EMO_2389_2_0,0.0253125,,,,2.0,
0.007396297951373002,EMO_2439_1_0,EMO_2439_2_0,-1.3948125,,,,1.0,c
